accommodatie_id;accommodatie naam;bouwjaar;X;Y;adres;postcode;plaatsnaam;gemeente;provincie;aantal voorzieningen;aantal indoor voorzieningen;aantal outdoor voorzieningen;aantal outdoor kunstgrasvelden;aantal outdoor natuurgrasvelden;aantal outdoor semi-watervelden;aantal outdoor watervelden;aantal sporthallen;aantal sportzalen;aantal gymzalen;sport
13834;Gymzaal Sint-Willibrordusstraat;1984;134446;457970;Sint-Willibrordusstraat 45;3553sl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13835;Gymzaal Bangkokdreef;1982;135660;459499;Bangkokdreef 2;3564sc;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13835;Gymzaal Bangkokdreef;1982;135660;459499;Bangkokdreef 2;3564sc;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13835;Gymzaal Bangkokdreef;1982;135660;459499;Bangkokdreef 2;3564sc;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13835;Gymzaal Bangkokdreef;1982;135660;459499;Bangkokdreef 2;3564sc;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13835;Gymzaal Bangkokdreef;1982;135660;459499;Bangkokdreef 2;3564sc;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13835;Gymzaal Bangkokdreef;1982;135660;459499;Bangkokdreef 2;3564sc;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13836;Gymnastieklokaal Grote-Trekdreef;1967;136142;459146;Grote-Trekdreef 3;3564bk;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13836;Gymnastieklokaal Grote-Trekdreef;1967;136142;459146;Grote-Trekdreef 3;3564bk;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13836;Gymnastieklokaal Grote-Trekdreef;1967;136142;459146;Grote-Trekdreef 3;3564bk;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13836;Gymnastieklokaal Grote-Trekdreef;1967;136142;459146;Grote-Trekdreef 3;3564bk;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13836;Gymnastieklokaal Grote-Trekdreef;1967;136142;459146;Grote-Trekdreef 3;3564bk;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13836;Gymnastieklokaal Grote-Trekdreef;1967;136142;459146;Grote-Trekdreef 3;3564bk;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13837;Gymzaal Cremerstraat;1966;134611;456524;Cremerstraat 378;3532bs;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalvoetbal
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;badminton
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;bewegingsonderwijs
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;gymnastiek
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;vechtsport
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;volleybal
13838;Gymzaal Johan Wagenaarkade;;133979;455506;Johan Wagenaarkade 45A;3533bz;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;zaalsport
13839;van bijnkershoeklaan;1973;135144;454717;van bijnkershoeklaan 6;3527xl;utrecht;utrecht;utrecht;1;1;0;0;0;0;0;0;0;1;basketbal
